City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
992,dongtai,CN,32.8523,120.3095,36.0,79,0,8.57,clear sky
993,boda,CF,4.3189,17.4695,71.83,25,3,2.91,clear sky
994,nalut,LY,30.3333,10.85,44.58,56,0,6.31,clear sky
995,bethanien,NA,-26.502,17.1583,78.44,31,33,7.16,scattered clouds
996,kosh-agach,RU,50.0,88.6667,-2.29,70,18,1.16,snow
997,megion,RU,61.0296,76.1136,-22.0,76,40,4.47,scattered clouds
998,kigonsera,TZ,-10.8,35.05,62.82,97,89,1.03,moderate rain
999,bima,ID,-8.4667,118.7167,76.87,84,99,2.1,overcast clouds
1000,balkanabat,TM,39.5108,54.3671,50.77,60,87,6.71,overcast clouds
1001,pitsunda,GE,43.1592,40.3378,33.8,80,75,4.47,broken clouds
1002,inongo,CD,-1.95,18.2667,74.23,86,100,3.18,overcast clouds
1003,aqtobe,KZ,50.2797,57.2072,10.4,79,90,17.9,light snow
1004,bilma,NE,18.6853,12.9164,61.79,29,50,11.68,scattered clouds
1005,gharghoda,IN,22.1667,83.35,57.76,47,0,0.38,clear sky
1006,oktyabrskoye,RU,43.0645,44.7417,24.8,93,95,4.47,overcast clouds
1007,khandyga,RU,62.6667,135.6,-48.86,76,100,1.28,overcast clouds
1008,golovchino,RU,50.5341,35.797,6.8,85,90,2.24,snow
1009,mukdahan,TH,16.5833,104.5,51.98,76,1,10.29,clear sky
1010,novopokrovka,UA,49.8425,36.5477,8.6,92,90,4.47,light snow
1011,prudy,RU,57.5738,46.2718,-8.93,91,100,0.63,overcast clouds
1012,turayf,SA,31.6725,38.6637,37.4,100,0,6.91,clear sky
1013,touho,NC,-20.7833,165.2333,81.91,79,63,5.99,broken clouds
1014,katobu,ID,-4.9408,122.5276,75.94,92,100,8.25,moderate rain
1015,tigil,RU,57.8,158.6667,10.78,90,100,16.75,overcast clouds
1016,znamenskoye,RU,57.1281,73.8282,-10.98,90,59,6.35,broken clouds
1017,lebowakgomo,ZA,-24.2,29.5,64.4,77,0,8.05,clear sky
1018,turukhansk,RU,65.8167,87.9833,-15.11,87,100,9.17,overcast clouds
1019,dzaoudzi,YT,-12.7887,45.2699,82.4,78,0,8.05,clear sky
1020,barda,AZ,40.3744,47.1267,39.38,87,40,1.59,scattered clouds
1021,ergani,TR,38.2653,39.7621,37.4,86,90,2.3,overcast clouds
1022,sabathu,IN,30.9719,76.9933,44.98,55,0,4.97,clear sky
1023,gat,IL,31.61,34.7642,51.01,35,0,1.01,clear sky
1024,jatiroto,ID,-7.8833,111.1167,73.45,89,98,3.58,overcast clouds
1025,tsogni,GA,-2.7942,10.0988,77.81,85,99,5.86,overcast clouds
1026,maba,CN,24.6841,113.5984,38.43,67,0,1.5,clear sky
1027,kabalo,CD,-6.05,26.9167,69.04,95,88,0.6,overcast clouds
1028,dalian,CN,38.9122,121.6022,12.2,62,0,2.24,clear sky
1029,adrar,MR,20.5022,-10.0711,58.89,29,77,14.03,broken clouds
1030,kudahuvadhoo,MV,2.6708,72.8944,81.39,69,22,7.09,few clouds
1031,hof,DE,50.3167,11.9167,32.0,98,100,15.99,light snow
1032,akhalgori,GE,42.126,44.4833,39.2,60,0,25.32,clear sky
1033,zavallya,UA,48.2135,30.0156,7.41,87,98,6.89,overcast clouds
1034,namibe,AO,-15.1961,12.1522,72.88,72,93,9.08,overcast clouds
